Time,AlphaDeg,ReferenceCl,InitialCl,ModelCl,ReferenceCd,InitialCd,ModelCd,ReferenceCm,InitialCm,ModelCm
2.569201824,22.1928714772394,2.032356472,1.80663490036483,2.03441607026446,0.268178014,1.94513425975367,2.06871103719653,0.159126247,0.556141189309,0.142871049192483
2.571078524,22.3062399154409,2.041955585,1.80837264717853,2.04369319394487,0.271357347,1.94803261687788,2.07428001777918,0.159759156,0.558351083297534,0.143828536911918
2.572955223,22.4192980077556,2.051271811,1.81004986484914,2.05288316304962,0.274393723,1.95091844120949,2.07986240669609,0.160355527,0.560565358202034,0.144771501976899
2.574831923,22.5320308777864,2.060084827,1.81166590073369,2.06198416601463,0.277143561,1.95379093681512,2.0854569795284,0.160838107,0.562783734397666,0.145699913458778
2.576708623,22.6444235107201,2.068506139,1.81322012170317,2.0709943997807,0.279745036,1.95664931194741,2.09106248934052,0.161253954,0.565005927739153,0.146613744634358
2.578585322,22.7564609368529,2.076640288,1.81471191771032,2.07991208511911,0.282178462,1.9594927837261,2.09667767577494,0.161614322,0.567231653178441,0.147512974538153
2.580462022,22.8681284115392,2.084585124,1.81614070462624,2.08873548100327,0.284513476,1.96232058267575,2.10230127427494,0.161969051,0.569460628417895,0.148397589355126
2.582338722,22.9794110592076,2.092544234,1.81750592008887,2.09746285657038,0.286800181,1.9651319436889,2.10793199835325,0.162328161,0.571692566871443,0.149267579551442
2.584215421,23.0902940552112,2.100389757,1.81880702651388,2.10609250597157,0.289004463,1.96792611065323,2.11356854880111,0.16270293,0.57392718129369,0.150122941328923
2.586092121,23.200725790185,2.108280877,1.82003792419544,2.11461407275234,0.291139333,1.97070072810211,2.11920987565293,0.163072552,0.576164363101672,0.150962424943661
2.587968821,23.3107252722002,2.11607871,1.82120354990227,2.12303416163765,0.293235561,1.97345651075609,2.12485415327902,0.163465152,0.578403596389431,0.151787275946623
2.58984552,23.4202783647136,2.123960807,1.82230352949372,2.1313512734658,0.295348876,1.97619275459643,2.13050003700019,0.163885066,0.580644589386516,0.152597527125576
2.59172222,23.5293706570603,2.131860475,1.82333743763152,2.13956382721309,0.297410105,1.97890874718029,2.13614618511689,0.16432013,0.582887056446795,0.153393200254773
2.59359892,23.6379876233067,2.139665085,1.82430487334074,2.14767025523589,0.299430396,1.98160378092424,2.14179123581747,0.164784067,0.58513070805987,0.154174321301982
2.595475619,23.7461148007216,2.147491928,1.82520546209634,2.15566901723819,0.301451844,1.98427715760315,2.14743381654779,0.165266548,0.587375254488724,0.154940921713709
2.597352319,23.8537379633249,2.155314727,1.82603885717627,2.16355861312823,0.303461863,1.98692819263316,2.15307255338678,0.1657703,0.589620409418468,0.155693039543164
2.599229019,23.9608427778343,2.163141852,1.82680473679428,2.17133755772292,0.305490764,1.98955620657598,2.1587060533736,0.166294001,0.591865882835806,0.156430716926957
2.601105718,24.0674149797786,2.171071603,1.82750280572739,2.17900439414957,0.307578394,1.99216052953637,2.16433291392504,0.166839622,0.594111384669953,0.15715400127829
2.602982418,24.1734405441944,2.178874153,1.82813279620609,2.18655770608399,0.309640211,1.99474050531929,2.16995173221051,0.167408268,0.596356628435097,0.157862946324789
2.604859118,24.2789053469556,2.186682313,1.8286944656505,2.19399609357905,0.311702147,1.99729548317374,2.17556108757216,0.167991489,0.598601324101503,0.15855760972117
2.606735817,24.3837953382771,2.194365172,1.82918759785467,2.20131818587111,0.313739226,1.99982482207442,2.18115955096379,0.168596285,0.600845181735703,0.159238054152797
2.608612517,24.4880967103199,2.201994705,1.82961200343099,2.20852265297304,0.315771836,2.00232789474,2.18674569429821,0.169215405,0.603087915132631,0.159904348286347
2.610489217,24.591769448702,2.209684359,1.82996460150962,2.21560309689347,0.317835443,2.00480291444284,2.19231742163224,0.169837045,0.605329161069398,0.160555973587175
2.612365916,24.6947962751008,2.217210853,1.83024506840016,2.22255776260878,0.319865358,2.00724911686305,2.19787303713484,0.170486704,0.607568585151919,0.161192984447814
2.614242616,24.7971906093607,2.224760232,1.83045638036982,2.22939073893375,0.32196514,2.00966711076585,2.20341170798116,0.171144698,0.609805965786098,0.161816094340283
2.616119315,24.8989387665184,2.232274115,1.8305984578657,2.23610080958354,0.324071883,2.01205630621903,2.20893196515794,0.171822987,0.612041013133439,0.162425390551441
2.617996015,25.0000273640996,2.239710898,1.83067124679402,2.24268680323025,0.326203635,2.01441612845312,2.21443234602867,0.172528982,0.614273442503528,0.163020966037355
2.619872715,25.100442942606,2.247038515,1.83067471754859,2.24914756833416,0.328274102,2.0167460089212,2.21991137419499,0.173244158,0.616502966051277,0.163602917000612
2.621749414,25.2001721319659,2.254141736,1.83060886518287,2.25548198443495,0.330321213,2.01904538925711,2.22536756889523,0.173992783,0.618729296397576,0.16417134379133
2.623626114,25.2992018109872,2.261341781,1.83047370884524,2.26168897212713,0.332406061,2.02131372492092,2.23079945419211,0.174727076,0.620952150219477,0.164726351663544
2.625502814,25.3975187900397,2.268388765,1.83026929167557,2.26776747292852,0.334462198,2.02355047788239,2.23620554204782,0.175494655,0.623171241168802,0.165268048834835
2.627379513,25.4951099740921,2.275374508,1.82999568057635,2.27371645989021,0.336551904,2.02575512042237,2.24158434164993,0.176281775,0.625386283478062,0.165796547308751
2.629256213,25.5919625182985,2.282410147,1.82965296525052,2.27953494685304,0.338663999,2.02792713860243,2.2469343684746,0.177092753,0.627596995526221,0.166311963556751
2.631132913,25.6880635180851,2.289234751,1.82924125878606,2.28522196961642,0.340827399,2.03006602527148,2.25225412765363,0.177961438,0.629803092794649,0.166814416711081
2.633009612,25.7834001685434,2.296225222,1.82876069703382,2.29077659584637,0.34307615,2.03217128370018,2.25754212319894,0.178858164,0.632004291453757,0.167304029311993
2.634886312,25.8779599159282,2.302895637,1.82821143725764,2.29619793359596,0.345232428,2.0342424308658,2.26279686691204,0.179814397,0.634200311899884,0.167780927919013
2.636763012,25.9716612205605,2.309648514,1.82758780771961,2.30147353088166,0.347491377,2.036275979237,2.2680137316381,0.18078437,0.636390375172134,0.168244176302043
2.638639711,26.0645571864779,2.316183552,1.82689581992778,2.30661381533961,0.349632365,2.0382743459008,2.27319402410396,0.1818107,0.63857463622755,0.168694981716494
2.640516411,26.1566365850975,2.32269052,1.82613578738442,2.31161816727151,0.351865353,2.04023712549795,2.27833630163218,0.182877298,0.640752824892837,0.169133496165291
2.642393111,26.2478871601811,2.329348742,1.82530795987668,2.31648582322819,0.354192986,2.04216387678171,2.28343907170339,0.183985622,0.642924661520054,0.169559857919739
2.64426981,26.3382967656393,2.335617761,1.82441260754104,2.32121605191211,0.35640354,2.04405416909176,2.28850084441665,0.185196933,0.645089867365774,0.169974207811505
2.64614651,26.4278535097211,2.342253556,1.82345001888066,2.32580816141616,0.358859266,2.04590758530971,2.29352014108311,0.186414225,0.647248168069208,0.170376689734505
2.64802321,26.5165454669495,2.348556226,1.82242050318549,2.33026148398848,0.361169004,2.0477237158054,2.29849547860826,0.187732827,0.649399286755941,0.170767449180433
2.649899909,26.604360826683,2.354952677,1.82132438889234,2.33457538396069,0.363703358,2.04950216157838,2.30342537830674,0.189110683,0.651542947550311,0.171146633803218
2.651776609,26.691288032657,2.36146578,1.82016202124325,2.338749264216,0.366267642,2.05124253700878,2.30830837426185,0.190541189,0.653678879012789,0.171514393861456
2.653653309,26.7773155038841,2.367458907,1.81893376539248,2.34278255235925,0.368685711,2.05294446418525,2.31314299817107,0.192086304,0.655806807317418,0.171870880877171
2.655530008,26.8624317787697,2.373904238,1.81764000440456,2.346674707886,0.371389324,2.05460757584884,2.31792778794949,0.193634078,0.657926459728275,0.172216248139132
2.657406708,26.9466256498072,2.379875459,1.8162811365638,2.35042522787128,0.373872027,2.05623151793307,2.32266129582657,0.195284581,0.660037567991637,0.172550651089678
2.659283407,27.02988585,2.385947338,1.81485757995375,2.35403363272244,0.376516178,2.05781594346489,2.32734207123733,0.197011583,0.662139860481487,0.172874245936216
2.661160107,27.1121610010163,2.392366246,1.81336707498544,2.35749344331946,0.379317478,2.05935882138651,2.33196632574164,0.198745159,0.664232674871622,0.173186748962458
2.663036807,27.193436193615,2.397975893,1.81180997760391,2.36080383175369,0.381833988,2.0608596815834,2.33653228684608,0.200637535,0.666315681833617,0.173488315507355
2.664913506,27.2737428995223,2.404110316,1.81018963188676,2.36397080192309,0.384703259,2.06231999640796,2.34104096139595,0.202525632,0.668389021713362,0.173779582052826
2.666790206,27.3530705625227,2.410291783,1.80850652078084,2.36699401537391,0.387591571,2.06373946771742,2.34549094730172,0.204465326,0.670452432554286,0.174060710364491
2.668666906,27.4314086249369,2.415756514,1.80676114436475,2.3698731589982,0.390244404,2.06511780552349,2.34988084579571,0.206571467,0.672505650359764,0.1743318625259
2.670543605,27.5087466605525,2.421759765,1.80495401703658,2.37260795037445,0.393336834,2.06645473044719,2.35420926942626,0.208583981,0.674548412467834,0.174593201315903
2.672420305,27.5850744972565,2.427272878,1.80308566405088,2.37519814159518,0.396109195,2.06774997574389,2.35847484942714,0.210737094,0.676580460820335,0.174844890483119
2.674297005,27.6603819705827,2.432723359,1.8011566268402,2.37764351023606,0.399028863,2.06900328299121,2.36267622243414,0.212978849,0.678601535453739,0.175087093787976
2.676173704,27.7346590515403,2.438433273,1.7991674598736,2.37994386391237,0.402190661,2.0702144043267,2.36681203817047,0.215165833,0.680611377822937,0.175319975331504
2.678050404,27.8078959637919,2.443688214,1.79711872688286,2.38209904331434,0.405011278,2.0713831042467,2.3708809664593,0.217531444,0.682609734010551,0.175543699787027
2.679927104,27.8800829477859,2.448663076,1.7950110068188,2.38410891465143,0.407883592,2.07250915572613,2.37488168459758,0.219892045,0.684596348331692,0.175758431546675
2.681803803,27.9512103833023,2.454062981,1.79284489039095,2.3859733734215,0.411071573,2.07359234223452,2.37881288470551,0.222188112,0.686570966602376,0.175964335005016
2.683680503,28.0212689010094,2.458624077,1.79062097599521,2.38769234665412,0.413687202,2.07463245930528,2.38267328035647,0.224550699,0.688533339284727,0.176161574751432
2.685557203,28.0902491575173,2.463223,1.78833987628718,2.38926578683774,0.416512755,2.07562931109585,2.38646159465055,0.22699955,0.690483215214483,0.176350314816024
2.687433902,28.1580478591289,2.468327401,1.78599743230027,2.39068120473905,0.419734929,2.07657897152995,2.39017015689283,0.229374113,0.6924192275871,0.176530021277227
2.689310602,28.2247470831667,2.472603074,1.78359910638161,2.39195090518089,0.422418338,2.07748492168239,2.39380381439995,0.231827472,0.694342185853195,0.176701575733147
2.691187302,28.2903393402461,2.476569079,1.78114561566047,2.39307511757869,0.42518216,2.07834705503274,2.39736144006903,0.234310714,0.696251860335085,0.17686515126196
2.693064001,28.3548159059889,2.4811084,1.77863761455873,2.39405391384663,0.428310697,2.07916522016337,2.40084183190465,0.236706626,0.698148006813897,0.177020909713856
2.694940701,28.4181683048969,2.4849621,1.77607576201069,2.3948873941549,0.431029372,2.07993927713857,2.40424381223131,0.239169284,0.700030385773892,0.177169012415844
2.696817401,28.4803881042791,2.488278227,1.77346072902653,2.39557568332287,0.433748519,2.08066909481194,2.40756621701079,0.241637301,0.701898756353495,0.177309619575801
2.6986941,28.5414670218504,2.49211411,1.77079319444327,2.39611893247437,0.436779015,2.08135455223149,2.41080790215667,0.244017188,0.703752879444717,0.17744289046585
2.7005708,28.6013970215181,2.495256423,1.76807384012299,2.39651731917144,0.439340082,2.08199553958252,2.41396774901316,0.246423923,0.705592520646877,0.177568983529732
2.702447499,28.6601700881607,2.497886822,1.76530336057604,2.39677104521621,0.442008849,2.08259195565102,2.41704465286743,0.248850307,0.70741744339607,0.177688055811646
2.704324199,28.717778483779,2.500890428,1.76248245096276,2.39688033793409,0.444878846,2.08314371050196,2.42003753687791,0.251189347,0.709227416828083,0.17780026341081
2.706200899,28.7742145282505,2.502942214,1.75961181699151,2.39684544871636,0.447104816,2.08365072317256,2.42294534099907,0.253513674,0.711022208983884,0.177905760952176
2.708077598,28.8294706970424,2.504858874,1.75669217021977,2.39666665337704,0.449537302,2.08411292268761,2.4257670275685,0.255770512,0.712801589788343,0.178004701715983
2.709954298,28.8835397066599,2.507132225,1.75372422284292,2.39634425100146,0.452336516,2.08453024860716,2.42850158599431,0.257987705,0.714565333869869,0.178097237700344
2.711830998,28.9363636052844,2.508137384,1.75070672403307,2.3958725351111,0.45427951,2.08490075199442,2.43114425959867,0.260201536,0.716312534815495,0.178183262485621
2.713707697,28.987931285136,2.509009031,1.74764038374947,2.39525153812791,0.456348874,2.08522427189646,2.43369371888287,0.262303427,0.718042895690462,0.178262930000159
2.715584397,29.0382894508106,2.510065943,1.74452805716209,2.3944880469894,0.458618449,2.08550279094504,2.4361529775371,0.26433352,0.719756907964166,0.178336666601711
2.717461097,29.0874314070126,2.510264299,1.74137047988748,2.39358245873337,0.460307072,2.08573628993427,2.43852112344324,0.266352055,0.72145435182627,0.178404617142977
2.719337796,29.1353506199854,2.510205465,1.73816839097892,2.39253519216353,0.46203094,2.08592475933668,2.44079726965314,0.268238231,0.723135009514551,0.178466924696902
2.721214496,29.1820407922516,2.510285059,1.73492252735169,2.39134668543247,0.463992273,2.08606819945291,2.44298055821541,0.270052604,0.72479866798964,0.178523730585808
2.723091196,29.2274957092712,2.509415028,1.7316336336378,2.390017398852,0.465294711,2.086166619722,2.44507015320467,0.271830631,0.726445113573031,0.178575174123144
2.724967895,29.2717093205223,2.508286298,1.72830245685217,2.38854781320791,0.466671778,2.08622003910396,2.44706524500684,0.273506599,0.72807413470935,0.178621392676774
2.726844595,29.3146758076917,2.507329794,1.72492974061419,2.38693842660417,0.468242726,2.08622848599206,2.4489650536177,0.275069653,0.72968552454934,0.178662521678618
2.728721295,29.3563894441434,2.505548052,1.72151623546731,2.38518975873412,0.469267627,2.08619199798993,2.45076882261441,0.276596846,0.731279075766723,0.178698694429778
2.730597994,29.3968446695534,2.503314998,1.71806269332952,2.38330234845073,0.470319867,2.08611062205654,2.45247582292587,0.278019787,0.73285458323233,0.178730042141871
